t,pitch_angle,yaw_angle,err_x_px,err_y_px,u_yaw_dps,u_pitch_dps,score,src
35.36242628097534,11.6,-21.3,-9.174592423443755,-17.148731763462024,-1.7812033977094495,3.2102454758141743,0.5,blob
35.66014218330383,12.8,-21.9,-6.138485075238464,-10.446675646250355,-1.1393064487062716,1.832164914192626,0.5,blob
35.95819139480591,13.5,-22.2,-4.165015298905018,-0.6653391700627367,-0.7542994053772737,-0.065997931876299,0.5,blob
36.255910873413086,13.6,-22.5,-1.4822599442882165,8.142529539459247,-0.24454561616312065,-1.7042607659048277,0.5,blob
36.55056595802307,13.2,-22.6,3.236531036212682,14.742644200648499,0.6534011477557107,-2.8830928478340425,0.5,blob
36.84619355201721,12.2,-22.4,6.653745173538255,17.632718730421516,1.2706537026905427,-3.335899083000762,0.5,blob
37.158371925354004,11.1,-22.0,8.699934362799809,16.186267174774002,1.615194833916144,-2.970031484431908,0.5,blob
37.46791362762451,10.0,-21.5,8.629957335819881,10.696073663603102,1.55694075452892,-1.8636063848340805,0.5,blob
37.779738664627075,9.3,-21.1,6.6594722682829115,2.577447881341982,1.1490327556183546,-0.3015768681581671,0.5,blob
38.074082374572754,9.1,-20.7,3.803656974383898,-6.374658877127729,0.5914682194594924,1.382258354486103,0.5,blob
38.3674213886261,9.3,-20.5,0.5473770333495622,-13.068528270133015,-0.023453107478256782,2.585701286400623,0.5,blob
38.66326403617859,10.1,-20.5,-2.0942049283228243,-16.5445433755865,-0.5025446664424736,3.1556048732432664,0.5,blob
38.98423409461975,11.1,-20.6,-4.336233203409847,-15.828953194131202,-0.8983021277191525,2.9292774017307024,0.5,blob
39.32713294029236,12.2,-20.9,-5.618551582216469,-10.988819576185278,-1.1091110767156358,1.9499861122536633,0.5,blob
39.66921305656433,13.1,-21.3,-5.052058528440739,-2.942732724520397,-0.9702363140368135,0.4005405209323308,0.5,blob
40.008010149002075,13.4,-21.7,-3.1088380434864575,5.43722372906177,-0.5816244244581911,-1.1647280665395996,0.5,blob
40.3648886680603,13.1,-21.9,-0.6207447282662315,11.759195423890162,-0.10814014347417614,-2.2963496985685463,0.5,blob
40.724348068237305,12.3,-22.0,1.346515926626921,15.343477025528614,0.2513450440478708,-2.8999788517976874,0.5,blob
41.116936922073364,11.3,-21.9,3.1502353523075044,14.523260066593593,0.5744111099648862,-2.67156061512484,0.5,blob
41.44583868980408,10.3,-21.7,3.9726529789999177,10.140119043285836,0.7112437552920066,-1.7860673439443824,0.5,blob
41.78644108772278,9.6,-21.5,3.982224436349952,3.266077378135776,0.6950736854500627,-0.4661433098217321,0.5,blob
42.11008071899414,9.4,-21.3,3.4634458836274007,-3.8270497042117313,0.5846360889039747,0.8607709747248644,0.5,blob
42.423419713974,9.5,-21.0,-0.19876017564217818,-9.837582307737648,-0.13357564983657538,1.9543161679826841,0.5,blob
42.756489992141724,10.2,-21.0,-0.8291941141674215,-13.394428500029505,-0.2276111620912759,2.558148957556662,0.5,blob
43.09656524658203,11.0,-21.1,-4.213976174208824,-13.606378525019181,-0.8675813466499787,2.528061246654147,0.5,blob
43.45756387710571,12.1,-21.4,-6.414084513235707,-9.71914604126249,-1.2598227870319463,1.7374033303495942,0.5,blob
43.814647912979126,12.9,-21.9,-3.8191549336031585,-3.1674449268206217,-0.7240595057757698,0.4746578339938664,0.5,blob
44.18281292915344,13.2,-22.2,-0.7324507068420871,4.241160797566579,-0.12848842470363997,-0.9096999028253374,0.5,blob
44.539244651794434,12.9,-22.2,2.673907040552649,10.281754518418325,0.5106109561992741,-2.006821279680376,0.5,blob
44.901220083236694,12.2,-22.1,5.238039576359256,13.68314043697194,0.9729087006428117,-2.586536676182395,0.5,blob
45.273547410964966,11.2,-21.7,6.204725724633477,13.2690412840318,1.1249884397223344,-2.4434335759786916,0.5,blob
45.616397857666016,10.2,-21.3,3.858071721011811,8.799876834620648,0.6444412233947523,-1.5451403994392652,0.5,blob
45.9892213344574,9.6,-21.1,2.857746618657643,1.8699199425034294,0.4561555368804154,-0.22298297371709186,0.5,blob
46.34498190879822,9.4,-20.9,-14.942464697872538,-23.45955203737276,-2.9893366363389298,4.6376256132266125,0.5,blob
46.701778411865234,11.1,-21.8,-10.937602053617184,-22.423708824292305,-2.083019158100338,4.231702108521675,0.5,blob
47.078036308288574,12.9,-22.7,-5.184441334851158,-15.450410735790001,-0.9343992169978086,2.788803302307567,0.5,blob
47.43545866012573,14.2,-23.1,1.5301131323467416,-3.217766978263512,0.3483762125711221,0.41444256815806874,0.5,blob
47.825005531311035,14.4,-23.0,7.644573536025291,10.158451464128689,1.470878794424117,-2.0805387711969727,0.5,blob
48.18558216094971,13.7,-22.5,-4.6560272015835835,1.7029934516836533,-0.9816464376669035,-0.31311231129298833,0.5,blob
48.556867361068726,13.5,-22.8,1.3485823189706707,11.256945743594372,0.23153970390929593,-2.1563986381203537,0.5,blob
48.93062949180603,12.8,-22.7,6.301578507330987,17.117014733336305,1.174863898583542,-3.2231617739465186,0.5,blob
49.30775189399719,11.4,-22.3,9.346026029765085,18.12605957666858,1.7230971028722881,-3.346114080962424,0.5,blob
49.68108081817627,10.1,-21.7,5.0249169193473335,12.65693872483456,0.8471882896260796,-2.245838944831379,0.5,blob
50.05220365524292,9.2,-21.4,-0.40880400242417636,0.8770101711424445,-0.19537885318212284,0.018127176723368055,0.5,blob
50.425060749053955,9.1,-21.4,0.08427739842431947,-7.304943388757408,-0.05904345602648214,1.513970052941881,0.5,blob
50.78235936164856,9.5,-21.4,-20.42021969102416,-32.22321320269231,-4.020343767264981,6.250803387308816,0.5,blob
51.15467810630798,12.1,-22.8,-29.373142799165635,-46.84508858175002,-5.601138302763002,8.857340433926579,0.5,blob
51.54281806945801,16.0,-24.9,-13.667542819457708,-27.47430757813754,-2.4361974394980646,4.912198130660711,0.5,blob
51.915367603302,18.2,-25.9,4.24109716735245,1.216700074210621,0.9947811375893515,-0.6174921698596685,0.5,blob
52.27436375617981,18.3,-25.8,19.731713158779144,28.090855048236904,3.8628296505310775,-5.627713184366461,0.5,blob
52.63382124900818,16.5,-24.6,28.225613553206358,46.60905578135396,5.334660781272359,-8.93188658929538,0.5,blob
